,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
3088,1021673869973835777,1021673869973835777,2018-07-24,gomediiofficial,"Overwhelming sadness, grief, and a sense of guilt. It may be described as a feeling of emptiness or hopelessness. Some people may find it difficult to put these feelings into words.  ","['#tuesdaythoughts', '#hopelessness']","Overwhelming sadness, grief, and a sense of guilt. It may be described as a feeling of emptiness or hopelessness. Some people may find it difficult to put these feelings into words. #TuesdayThoughts #hopelessness",1
3099,1020793408414208000,1020793408414208000,2018-07-22,kenhar777,"Come away with God and let Him wash away  and  and be filled with love, hope, peace and joy. Let Him help you build your expectation and faith to meet the purposes and plans He has for your life.","['#hopelessness', '#disappointment']","Come away with God and let Him wash away #hopelessness and #disappointment and be filled with love, hope, peace and joy. Let Him help you build your expectation and faith to meet the purposes and plans He has for your life.",1
3116,1018257753578573824,1018256882069368832,2018-07-15,twitmiser,"NOT too long now & many cities will spiral into  as ,  has? When's the calvary coming?","['#hopelessness', '#flint', '#mi']","NOT too long now & many cities will spiral into #Hopelessness as #Flint, #MI has? When's the calvary coming?",1
3128,1017666571773382656,1017666571773382656,2018-07-13,sodoladele,"
The hopeless leading the hopelessess,
The hopelessess become hopeless,
And the unfortunate hopelessess become hopelessed,
As the hope continue the hopes dashed flee.🎶🤔",['#hopelessness'],"#hopelessness
The hopeless leading the hopelessess,
The hopelessess become hopeless,
And the unfortunate hopelessess become hopelessed,
As the hope continue the hopes dashed flee.🎶🤔",1
3142,1015935238407704576,1015935238407704576,2018-07-08,midori_marmotte,"Ok, I’m trying not to despair more than I already do, so we’re going to skip this track, yeah? “Wiiiilll this suuuuuuffering ever come to an eeeeeeeeend….”     pic.twitter.com/kV6hKVUlNw","['#xenobladechronicles2', '#ost', '#hopelessness']","Ok, I’m trying not to despair more than I already do, so we’re going to skip this track, yeah? “Wiiiilll this suuuuuuffering ever come to an eeeeeeeeend….” #XenobladeChronicles2 #OST #Hopelessness  pic.twitter.com/kV6hKVUlNw",1
3167,1012396967874449408,1012396967874449408,2018-06-28,drpaulag,How does  and helplessness show up in your life? Need help navigating the terrain? Message me to schedule time today.  can help.,"['#hopelessness', '#therapy']",How does #hopelessness and helplessness show up in your life? Need help navigating the terrain? Message me to schedule time today. #Therapy can help.,1
3172,1012302155024424960,1012302155024424960,2018-06-28,sirnursington,"Das Fallbeispiel zum Jugendhilferecht sieht recht harmlos aus... Aber ich stelle fest, das wir bisher noch nix gelernt haben bei dem Prof und ich mir alles via Print- und Onlinequellen selber erarbeiten muss.. Diese Klausur am 16. wird eine Tortur sondergleichen... ",['#hopelessness'],"Das Fallbeispiel zum Jugendhilferecht sieht recht harmlos aus... Aber ich stelle fest, das wir bisher noch nix gelernt haben bei dem Prof und ich mir alles via Print- und Onlinequellen selber erarbeiten muss.. Diese Klausur am 16. wird eine Tortur sondergleichen... #hopelessness",1
3173,1012256910853189633,1012256910853189633,2018-06-28,healthymindpte,"If you experience feelings of  or  or are unable to enjoy time out with friends, you maybe be suffering from . Do not hesitate to reach out to us. pic.twitter.com/WlOMKbgOEo","['#guilt', '#hopelessness', '#depression']","If you experience feelings of #guilt or #hopelessness or are unable to enjoy time out with friends, you maybe be suffering from #depression. Do not hesitate to reach out to us. pic.twitter.com/WlOMKbgOEo",1
3176,1012178374855258112,1012178374855258112,2018-06-28,notmyhomeplanet,This is what  looks like.  pic.twitter.com/6w5pb687sJ,"['#hopelessness', '#toysrusforever']",This is what #hopelessness looks like. #toysrusforever pic.twitter.com/6w5pb687sJ,1
3189,1011262109735440384,1011262109735440384,2018-06-25,theworstpersona,"Realizing this morning that David Bowie has essentially been my therapist since I was about 12. But without him this Fantastic Voyage has turned to erosion, so how can I ever say anything nice again?   ","['#mourning', '#thisworldhaslostallmeaning', '#hopelessness']","Realizing this morning that David Bowie has essentially been my therapist since I was about 12. But without him this Fantastic Voyage has turned to erosion, so how can I ever say anything nice again? #mourning #thisworldhaslostallmeaning #hopelessness",1
3197,1010148072666435584,1010148072666435584,2018-06-22,tpointsutc,Relevant for the whole world: The path from darkness to light is a journey well taken. Freedom and liberty embraced -  and  forsaken  pic.twitter.com/NDStm41RoW,"['#oppression', '#hopelessness']",Relevant for the whole world: The path from darkness to light is a journey well taken. Freedom and liberty embraced - #oppression and #hopelessness forsaken  pic.twitter.com/NDStm41RoW,1
3212,1008560308045139969,1008560308045139969,2018-06-18,jchin_kohinoor,"I’m heartbroken to see all of the friends celebrate Father’s Day, when I’m missing mine and crushed that this country is needlessly tearing families apart.   ","['#hopelessness', '#justsad', '#shameonus']","I’m heartbroken to see all of the friends celebrate Father’s Day, when I’m missing mine and crushed that this country is needlessly tearing families apart. #hopelessness #justsad #shameonus",1
3232,1006722829583171585,1006722829583171585,2018-06-13,gesturezzz,"""Hopelessness suits to those who don't believe in God"".



","['#disappointment', '#hopeless', '#hopelessness']","""Hopelessness suits to those who don't believe in God"".

#Disappointment
#hopeless
#hopelessness",1
3247,1005733809088880640,1005732780049928192,2018-06-10,dolearningza,"  | A podcast giving us hope for forgiveness. Hasbuna' Allah. Challenges don't break us. “Disappointment to a noble soul is what cold water is to burning metal; it strengthens, tempers, intensifies, but never destroys it.” -- Tabor","['#freedomseries', '#hopelessness']","#FreedomSeries #Hopelessness | A podcast giving us hope for forgiveness. Hasbuna' Allah. Challenges don't break us. “Disappointment to a noble soul is what cold water is to burning metal; it strengthens, tempers, intensifies, but never destroys it.” -- Tabor",1
3248,1005691964098936832,1005691270331707392,2018-06-10,mfrtiangco,"Hope is expressed and nourished in prayer, especially in the Our Father, the summary of everything that hope leads us to desire.



","['#suicideprevention', '#hopelessness', '#purposelessness']","Hope is expressed and nourished in prayer, especially in the Our Father, the summary of everything that hope leads us to desire.

#SuicidePrevention
#Hopelessness
#Purposelessness",1
3250,1005564446377377794,1005564446377377794,2018-06-10,murffyjohn,"Africans crossing over to Europe  some of whom r  in search of green pastures bcos of Draconic and bad leadership which have resulted in life of  are being washed ashore in the  sea, o God! Why must mankind go through this??..... pic.twitter.com/WvyxeDwd6P","['#biafrans', '#hopelessness', '#mediterranean']","Africans crossing over to Europe  some of whom r #Biafrans in search of green pastures bcos of Draconic and bad leadership which have resulted in life of #hopelessness are being washed ashore in the #Mediterranean sea, o God! Why must mankind go through this??..... pic.twitter.com/WvyxeDwd6P",1
3259,1005287515740237824,1005287515740237824,2018-06-09,eveaboka,"Suicide is born of hopelessness that consumes one to no other way out! a thick deadly cloud created by powerful personal demons that prevents one from knowing the truth! in my opinion, the first step and foundation to  is denial of a higher power ","['#hopelessness', '#anthonybourdain']","Suicide is born of hopelessness that consumes one to no other way out! a thick deadly cloud created by powerful personal demons that prevents one from knowing the truth! in my opinion, the first step and foundation to #hopelessness is denial of a higher power #AnthonyBourdain",1
3262,1005186039726690304,1005186039726690304,2018-06-08,nhunterpsych,"People decide to  for a reason. Stop judging them and further marginalizing those who suffer. , , and pain are not illnesses - they are human experiences. Maybe if we start treating them as such, people won't feels so isolated and desperate.","['#suicide', '#sadness', '#hopelessness']","People decide to #suicide for a reason. Stop judging them and further marginalizing those who suffer. #Sadness, #hopelessness, and pain are not illnesses - they are human experiences. Maybe if we start treating them as such, people won't feels so isolated and desperate.",1
3275,1004367105897172993,1004365012297814016,2018-06-06,kwteaparty,"Taxpayers ought not be forced to underwrite self-destructive behavior w/o rehabilitation...

We must never forget that when offered decent employment, many ID-less, homeless people are able to turn their lives around?  need not be .","['#homelessness', '#hopelessness']","Taxpayers ought not be forced to underwrite self-destructive behavior w/o rehabilitation...

We must never forget that when offered decent employment, many ID-less, homeless people are able to turn their lives around? #Homelessness need not be #Hopelessness.",1
3277,1004122892630675457,1004122892630675457,2018-06-06,pamdkny,"Missing calls, texts. Missing your hand over mine and your feet tangled with mine. My heart skips beats because it got used to the company and help of yours. Hoping all this to be a dream and hear your voice again.  ","['#heartache', '#hopelessness']","Missing calls, texts. Missing your hand over mine and your feet tangled with mine. My heart skips beats because it got used to the company and help of yours. Hoping all this to be a dream and hear your voice again. #heartache #hopelessness",1
3291,1002580705891831808,1002580705891831808,2018-06-01,ibracee,Many Gambian Youth are in a state of  with .🤔 — feeling concerned,"['#hopelessness', '#coalitiongovernment']",Many Gambian Youth are in a state of #Hopelessness with #CoalitionGovernment.🤔 — feeling concerned,1
3295,1001420612890316801,1001420612890316801,2018-05-29,tpointsutc,The path from darkness to light is a journey well taken. Truth and liberty embraced - bondage &  forsaken. Salvation Gospel given below-important 4 all 2 know-only  can take U home-you'll never get there on your own-follow twitter trail from May 2 to May 29/30 pic.twitter.com/Y7QJNODpZU,"['#hopelessness', '#jesus']",The path from darkness to light is a journey well taken. Truth and liberty embraced - bondage & #hopelessness forsaken. Salvation Gospel given below-important 4 all 2 know-only #Jesus can take U home-you'll never get there on your own-follow twitter trail from May 2 to May 29/30 pic.twitter.com/Y7QJNODpZU,1
3301,999974408579100672,999974408579100672,2018-05-25,notherdev,"Resurrecting a project after 3 years of inactivity. Yes, *I am* truly willing to help make bower better!   pic.twitter.com/pOAqshRwWg","['#hopelessness', '#webdev']","Resurrecting a project after 3 years of inactivity. Yes, *I am* truly willing to help make bower better! #hopelessness #webdev pic.twitter.com/pOAqshRwWg",1
3314,998450041261121536,998450041261121536,2018-05-21,dzeiar, is a message of  to those who they say were not .,"['#calvinism', '#hopelessness', '#elected']",#Calvinism is a message of #hopelessness to those who they say were not #elected.,1
3321,997604920999251969,997604920999251969,2018-05-19,askwinifred,"What leads to suicide?

There’s no single cause for suicide. Suicide most often occurs when stressors and health issues converge to create an experience of  and despair.",['#hopelessness'],"What leads to suicide?

There’s no single cause for suicide. Suicide most often occurs when stressors and health issues converge to create an experience of #hopelessness and despair.",1
3332,996055111691534337,996055111691534337,2018-05-14,laiiarm,Goodbye La liga see you next season .. right now you're impossible aaahhhh :'(  ,['#hopelessness'],Goodbye La liga see you next season .. right now you're impossible aaahhhh :'(  #hopelessness,1
3334,995900845169434624,995900845169434624,2018-05-14,nick_paulo,I will just shut up and keep it to myself.  ,"['#hopelessness', '#timetomoveon']",I will just shut up and keep it to myself. #hopelessness #timetomoveon,1
3360,991824534821982208,991824534821982208,2018-05-03,sspencerthomas,Stack: How  may reduce suicidality -> reduces   pic.twitter.com/mR23vYkwJd,"['#religion', '#hopelessness', '#iaspnz18']",Stack: How #religion may reduce suicidality -> reduces #hopelessness #IASPNZ18 pic.twitter.com/mR23vYkwJd,1
3368,990941376102719488,990941376102719488,2018-04-30,edfunderburk,"If you’re going through a storm in your life, don’t lose hope ...

Acts 27:20

The terrible storm raged for many days, blotting out the sun & the stars, until at last all hope was gone

",['#hopelessness'],"If you’re going through a storm in your life, don’t lose hope ...

Acts 27:20

The terrible storm raged for many days, blotting out the sun & the stars, until at last all hope was gone

#hopelessness",1
3381,989796340807876609,989796340807876609,2018-04-27,estherpassaris,"I see, hear, feel & get involved in many cases that drive men, women, children old & young alike into dire straits. One is left questioning if life is worth living? The emotional & physical pain is worsened if it's family.

 
Share your experience.","['#hopelessness', '#helplessness']","I see, hear, feel & get involved in many cases that drive men, women, children old & young alike into dire straits. One is left questioning if life is worth living? The emotional & physical pain is worsened if it's family.
#Hopelessness
#Helplessness 
Share your experience.",1
3435,987212083199524864,987212083199524864,2018-04-20,lorenzozanirato,"Fucked up society when you are 13 and you have to wear a uniform which says 
Ora et labora

",['#hopelessness'],"Fucked up society when you are 13 and you have to wear a uniform which says 
Ora et labora

#Hopelessness",1
3444,986443487884197888,986443487884197888,2018-04-18,lorenzozanirato,"true blue born and raised in sg millennials who went the farthest to BKK in their fruitful life who use google maps to go from Raffles Place to Clarke quay

",['#hopelessness'],"true blue born and raised in sg millennials who went the farthest to BKK in their fruitful life who use google maps to go from Raffles Place to Clarke quay

#hopelessness",1
3449,985971675220017153,985971675220017153,2018-04-16,kansascitysteph,Our society is raising children who have little tolerance for disappointment and a strong sense of entitlement   ,"['#recipefordisaster', '#hopelessness', '#selfdoubt']",Our society is raising children who have little tolerance for disappointment and a strong sense of entitlement #recipefordisaster #hopelessness #selfdoubt,1
3451,985898054447321089,985898054447321089,2018-04-16,joshua1nine,"Though I am surrounded by troubles, you will protect me from the anger of my enemies. You reach out your hand, and the power of your right hand saves me. ~Psalm 138:7
  ","['#hope', '#hopelessness', '#depression']","Though I am surrounded by troubles, you will protect me from the anger of my enemies. You reach out your hand, and the power of your right hand saves me. ~Psalm 138:7
#hope #hopelessness #depression",1
3452,985897168555786250,985897168555786250,2018-04-16,joshua1nine,"Though you have made me see troubles, MANY and BITTER,
you will restore my life again;
from the depths of the earth
you will again BRING ME UP.
You will increase my honor
and COMFORT me once more.
~Psalm 71: 20-21
  ","['#hope', '#hopelessness', '#depression']","Though you have made me see troubles, MANY and BITTER,
you will restore my life again;
from the depths of the earth
you will again BRING ME UP.
You will increase my honor
and COMFORT me once more.
~Psalm 71: 20-21
#hope #hopelessness #depression",1
3460,985133028665159680,985133028665159680,2018-04-14,zionbethelucc,"Wait on the Lord; Be of good courage, and He shall strengthen your heart; Wait, I say, on the Lord! (Psalm 27:14)

",['#hopelessness'],"Wait on the Lord; Be of good courage, and He shall strengthen your heart; Wait, I say, on the Lord! (Psalm 27:14)

#Hopelessness",1
3472,984091119880458240,984091119880458240,2018-04-11,youngjimster,The older I get the more I learn I realize there’s no place for a  in  I’m constantly trying to shake the feeling of  there’s too much stacked against us.I wonder how my ancestors got through it.,"['#blackman', '#america', '#hopelessness']",The older I get the more I learn I realize there’s no place for a #BlackMan in #America I’m constantly trying to shake the feeling of #hopelessness there’s too much stacked against us.I wonder how my ancestors got through it.,1
3485,982224389625151497,982224389625151497,2018-04-06,patherpachali22,"Feels bad when after all your efforts you are being treated as an unwanted entity 
",['#hopelessness'],"Feels bad when after all your efforts you are being treated as an unwanted entity 
#hopelessness",1
3486,982217019725459456,982217019725459456,2018-04-06,andonia_23,"📚Integrity reveal Beauty👩Prayer😇is such a delicate thing, People don't realize that anymore there is a lots of unbelievers what they wil get  🌹",['#hopelessness'],"📚Integrity reveal Beauty👩Prayer😇is such a delicate thing, People don't realize that anymore there is a lots of unbelievers what they wil get #hopelessness 🌹",1
0,947616815194058752,947616815194058752,2018-01-01,livvycusack,7 years ago today me and my fam were dressed up dancing on the promenade deck of the cruise boat after 4 weeks travelling round the Caribbean   ,"['#depressed', '#canwegoback', '#newyearsevetherightway']",7 years ago today me and my fam were dressed up dancing on the promenade deck of the cruise boat after 4 weeks travelling round the Caribbean #depressed #canwegoback #newyearsevetherightway,1
8,947584808263340032,947584808263340032,2017-12-31,phenomvp,"Jimmy G just keeps lighting it up 
",['#depressed'],"Jimmy G just keeps lighting it up 
#Depressed",1
9,947583112736681984,947583112736681984,2017-12-31,kadiehelz,"I need help, but I don't know if anyone/anything CAN help me. So . I just want to give up. I'm so angry that my life has come to this point.",['#depressed'],"I need help, but I don't know if anyone/anything CAN help me. So #depressed. I just want to give up. I'm so angry that my life has come to this point.",1
11,947571580413997056,947571580413997056,2017-12-31,ohheyitsliss_et,AND I have to be at work tomorrow at 10am ,['#depressed'],AND I have to be at work tomorrow at 10am #depressed,1
